player,nationality,position,team,age,sca,sca_per90,gca,gca_per90
Riccardo Calafiori,itITA,DF,Arsenal,22-327,13,1.26,2,0.19
Dominic Calvert-Lewin,engENG,FW,Everton,28-026,25,1.43,4,0.23
Diego Carlos,brBRA,DF,Aston Villa,32-027,4,0.43,0,0.00
Fabio Carvalho,ptPOR,"FW,MF",Brentford,22-224,10,1.97,1,0.20
Casemiro,brBRA,MF,Manchester Utd,33-047,48,3.40,3,0.21
Kaelan Casey,engENG,DF,West Ham,20-165,0,0.00,0,0.00
Matty Cash,plPOL,DF,Aston Villa,27-247,18,1.10,2,0.12
Eiran Cashin,ieIRL,DF,Brighton,23-153,1,4.74,0,0.00
Timothy Castagne,beBEL,DF,Fulham,29-127,25,1.48,3,0.18
Trevoh Chalobah,engENG,DF,Crystal Palace,25-280,11,0.93,0,0.00
Trevoh Chalobah,engENG,DF,Chelsea,25-280,6,1.13,1,0.19
Conor Chaplin,engENG,"MF,FW",Ipswich Town,28-054,19,2.75,1,0.14
Youssef Chermiti,ptPOR,"FW,MF",Everton,20-322,0,0.00,0,0.00
Federico Chiesa,itITA,FW,Liverpool,27-168,3,7.30,1,2.43
Ben Chilwell,engENG,DF,Crystal Palace,28-111,3,2.41,0,0.00
Chiquinho,ptPOR,MF,Wolves,25-065,2,25.71,0,0.00
Hamza Choudhury,bdBAN,"MF,DF",Leicester City,27-192,3,2.05,0,0.00
Ryan Christie,sctSCO,MF,Bournemouth,30-048,85,3.62,9,0.38
Harry Clarke,engENG,DF,Ipswich Town,24-040,1,0.24,0,0.00
Jack Clarke,engENG,"FW,MF",Ipswich Town,24-139,35,3.54,4,0.40
Nathaniel Clyne,engENG,"DF,MF",Crystal Palace,34-006,3,0.59,0,0.00
Conor Coady,engENG,DF,Leicester City,32-045,4,0.33,0,0.00
Séamus Coleman,ieIRL,DF,Everton,36-182,2,0.91,1,0.46
Nathan Collins,ieIRL,DF,Brentford,23-346,27,0.87,6,0.19
Toby Collyer,engENG,MF,Manchester Utd,21-098,5,2.50,0,0.00
Levi Colwill,engENG,DF,Chelsea,22-044,33,1.18,3,0.11
Lewis Cook,engENG,"MF,DF",Bournemouth,28-067,84,2.94,5,0.17
Maxwel Cornet,ciCIV,FW,Southampton,28-196,0,0.00,0,0.00
Vladimír Coufal,czCZE,DF,West Ham,32-232,13,1.59,1,0.12
Woyo Coulibaly,frFRA,DF,Leicester City,25-326,0,0.00,0,0.00
