player,nationality,position,team,age,tackles,tackles_won,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions
Tom Cairney,sctSCO,MF,Fulham,34-081,10,5,7,3,4,1,3,4
Jens Cajuste,seSWE,MF,Ipswich Town,25-244,37,18,44,26,19,5,14,21
Riccardo Calafiori,itITA,DF,Arsenal,22-327,26,18,29,11,12,6,6,9
Dominic Calvert-Lewin,engENG,FW,Everton,28-026,9,7,6,4,6,2,4,6
Diego Carlos,brBRA,DF,Aston Villa,32-027,8,3,6,2,13,7,6,5
Fabio Carvalho,ptPOR,"FW,MF",Brentford,22-224,13,9,13,7,6,1,5,3
Casemiro,brBRA,MF,Manchester Utd,33-047,74,43,64,25,33,10,23,12
Kaelan Casey,engENG,DF,West Ham,20-165,0,0,0,0,0,0,0,0
Matty Cash,plPOL,DF,Aston Villa,27-247,41,23,29,10,16,5,11,20
Eiran Cashin,ieIRL,DF,Brighton,23-153,0,0,1,1,0,0,0,0
Timothy Castagne,beBEL,DF,Fulham,29-127,45,28,44,18,13,4,9,20
Trevoh Chalobah,engENG,DF,Crystal Palace,25-280,20,16,23,11,19,9,10,19
Trevoh Chalobah,engENG,DF,Chelsea,25-280,4,1,3,0,3,1,2,7
Conor Chaplin,engENG,"MF,FW",Ipswich Town,28-054,12,5,13,7,8,1,7,3
Youssef Chermiti,ptPOR,"FW,MF",Everton,20-322,0,0,0,0,0,0,0,0
Federico Chiesa,itITA,FW,Liverpool,27-168,0,0,2,2,1,0,1,0
Ben Chilwell,engENG,DF,Crystal Palace,28-111,4,4,2,2,3,1,2,1
Chiquinho,ptPOR,MF,Wolves,25-065,0,0,0,0,0,0,0,0
Hamza Choudhury,bdBAN,"MF,DF",Leicester City,27-192,1,1,3,2,4,2,2,5
