player,nationality,position,team,age,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,progressive_passes_received
Tyrique George,engENG,FW,Chelsea,19-066,51,0,9,12,31,8,4,75.0,25.0,36,206,9,1,5,1,0,16
Morgan Gibbs-White,engENG,MF,Nott'ham Forest,25-074,1313,28,155,650,529,82,69,40.6,44.9,742,2200,61,45,12,62,36,109
Billy Gilmour,sctSCO,MF,Brighton,23-304,73,2,14,46,13,0,2,50.0,50.0,44,117,2,0,0,0,0,2
Ben Godfrey,engENG,DF,Ipswich Town,27-086,63,3,22,32,9,1,0,N/a,N/a,33,79,2,2,0,2,1,1
Martial Godo,engENG,FW,Fulham,22-028,11,0,1,4,6,3,2,0.0,100.0,8,18,0,0,0,0,0,3
João Gomes,brBRA,MF,Wolves,24-058,1617,55,346,887,403,37,49,42.9,44.9,836,2359,49,45,5,32,43,61
Rodrigo Gomes,ptPOR,"DF,FW",Wolves,21-278,311,22,73,109,134,23,11,27.3,54.5,155,643,19,13,7,14,6,57
Toti Gomes,ptPOR,DF,Wolves,26-085,1511,185,713,731,85,15,23,69.6,21.7,871,2369,20,16,0,16,12,12
Diego Gómez,pyPAR,MF,Brighton,22-015,304,16,72,166,70,5,12,50.0,50.0,142,233,5,3,0,6,9,11
Joe Gomez,engENG,DF,Liverpool,27-323,481,54,183,264,37,5,0,N/a,N/a,303,947,5,2,1,1,2,2
Nicolás González,esESP,MF,Manchester City,23-098,463,10,66,288,110,6,4,25.0,50.0,288,455,5,7,1,6,5,8
Anthony Gordon,engENG,FW,Newcastle Utd,24-046,1100,16,110,413,595,122,93,37.6,45.2,710,2813,104,52,54,28,34,187
Ryan Gravenberch,nlNED,MF,Liverpool,22-330,1997,98,412,1175,436,22,67,46.3,37.3,1196,3171,59,65,9,43,19,49
Archie Gray,engENG,"DF,MF",Tottenham,19-030,1046,133,526,472,57,1,8,50.0,37.5,741,1393,4,5,0,6,8,7
Jack Grealish,engENG,"FW,MF",Manchester City,29-213,509,14,38,155,321,70,27,48.1,33.3,368,1708,69,23,46,10,16,118
Jacob Greaves,engENG,DF,Ipswich Town,24-211,1064,222,582,426,60,15,2,50.0,50.0,503,909,6,8,0,7,2,4
Brajan Gruda,deGER,"FW,MF",Brighton,20-315,243,4,30,83,132,29,20,40.0,40.0,141,458,15,16,9,7,20,45
Albert Grønbaek,dkDEN,"FW,MF",Southampton,23-323,38,2,9,14,15,2,4,0.0,100.0,18,15,1,0,1,5,4,3
Gonçalo Guedes,ptPOR,"MF,FW",Wolves,28-133,366,4,42,161,176,28,20,25.0,55.0,223,878,31,19,5,33,14,58
Marc Guéhi,engENG,DF,Crystal Palace,24-272,1836,275,934,798,114,24,14,78.6,14.3,963,2536,17,15,1,14,15,8
Luis Guilherme,brBRA,"MF,FW",West Ham,19-061,66,3,14,25,27,3,6,33.3,33.3,31,111,3,2,1,1,2,11
Bruno Guimarães,brBRA,MF,Newcastle Utd,27-146,1737,66,376,910,469,49,63,42.9,31.7,1141,2748,44,35,7,47,69,69
Marc Guiu,esESP,FW,Chelsea,19-097,22,0,2,8,12,3,1,0.0,100.0,12,8,0,0,0,2,0,3
İlkay Gündoğan,deGER,MF,Manchester City,34-169,1506,35,224,730,571,49,28,46.4,35.7,893,2380,44,46,7,20,17,70
Malo Gusto,frFRA,DF,Chelsea,21-327,1464,54,364,709,402,39,15,26.7,66.7,800,2027,44,31,7,15,17,79
Joško Gvardiol,hrCRO,DF,Manchester City,23-078,2505,119,616,1203,707,82,39,59.0,33.3,1605,4655,74,88,13,23,15,96
Erling Haaland,noNOR,FW,Manchester City,24-264,578,22,39,200,344,170,32,34.4,59.4,272,478,19,14,19,39,25,103
Lewis Hall,engENG,DF,Newcastle Utd,20-215,1820,95,623,804,414,47,21,52.4,33.3,950,2358,41,22,13,33,20,80
Ali Al Hamadi,iqIRQ,FW,Ipswich Town,23-041,53,2,6,20,30,9,7,57.1,42.9,29,111,4,3,4,7,4,14
Marcus Harness,engENG,MF,Ipswich Town,29-046,22,4,7,2,13,3,1,0.0,100.0,9,14,0,0,0,0,0,1
Jack Harrison,engENG,FW,Everton,28-142,734,29,131,256,354,57,64,31.3,59.4,410,1204,49,25,14,40,35,94
Taylor Harwood-Bellis,engENG,DF,Southampton,23-071,2098,276,969,986,152,34,3,100.0,0.0,1208,3240,27,27,0,13,5,8
Kai Havertz,deGER,"FW,MF",Arsenal,25-304,768,31,88,282,403,103,38,23.7,63.2,411,922,34,23,18,42,22,110
Ayden Heaven,engENG,DF,Manchester Utd,18-201,67,21,42,23,3,1,2,100.0,0.0,42,122,1,1,0,2,1,1
Jan Paul van Hecke,nlNED,DF,Brighton,24-307,2232,237,955,1154,142,28,10,40.0,40.0,1471,6356,50,39,0,10,7,5
Hwang Hee-chan,krKOR,"MF,FW",Wolves,29-075,254,9,39,97,120,22,11,9.1,90.9,146,416,14,5,7,12,10,40
Dean Henderson,engENG,GK,Crystal Palace,28-030,1050,853,1047,2,1,1,0,N/a,N/a,598,1638,0,0,0,2,0,0
Rico Henry,engENG,DF,Brentford,27-277,6,0,4,1,1,0,0,N/a,N/a,2,0,0,0,0,0,0,1
Mads Hermansen,dkDEN,GK,Leicester City,24-274,998,715,959,41,0,0,1,100.0,0.0,631,1691,0,0,0,1,0,0
Son Heung-min,krKOR,FW,Tottenham,32-277,1093,15,110,347,646,117,82,35.4,48.8,732,2334,87,45,40,25,29,259
James Hill,engENG,DF,Bournemouth,23-091,319,19,99,167,54,8,2,50.0,50.0,146,295,3,6,0,2,0,8
Jack Hinshelwood,engENG,"DF,MF",Brighton,20-000,928,44,269,422,242,21,9,11.1,77.8,420,878,15,15,1,16,2,38
George Hirst,sctSCO,FW,Ipswich Town,26-055,113,6,17,36,61,17,3,66.7,33.3,62,111,6,1,5,14,8,21
Mason Holgate,engENG,"FW,DF",Everton,28-171,3,0,0,2,1,0,0,N/a,N/a,1,0,0,0,0,1,0,0
Callum Hudson-Odoi,engENG,FW,Nott'ham Forest,24-155,938,14,101,293,566,69,57,56.1,29.8,586,3072,116,55,43,43,22,180
Will Hughes,engENG,MF,Crystal Palace,29-359,972,35,215,509,260,14,11,27.3,45.5,432,1070,18,22,1,16,22,24
Dean Huijsen,esESP,DF,Bournemouth,19-362,1506,199,709,707,98,28,5,40.0,60.0,815,3022,31,14,0,14,1,9
Omari Hutchinson,engENG,"MF,FW",Ipswich Town,21-163,1061,12,168,450,463,74,114,39.5,47.4,645,2288,71,35,30,68,55,131
Rasmus Højlund,dkDEN,FW,Manchester Utd,22-066,396,5,23,201,178,50,25,28.0,64.0,247,513,23,11,14,56,26,79
Igor,brBRA,DF,Brighton,27-063,764,109,377,353,38,1,4,75.0,25.0,497,1782,9,14,0,1,0,0
Danny Ings,engENG,"FW,MF",West Ham,32-262,139,2,15,51,73,27,7,57.1,28.6,63,118,6,0,2,6,6,29
Tim Iroegbunam,engENG,MF,Everton,21-285,248,20,79,117,58,12,19,42.1,36.8,119,360,8,10,2,10,18,9
Andy Irving,sctSCO,MF,West Ham,24-333,150,7,37,89,24,0,1,100.0,0.0,73,137,0,1,0,1,3,4
Alexander Isak,seSWE,FW,Newcastle Utd,25-202,838,19,52,310,489,150,80,48.8,50.0,510,1623,72,38,40,54,48,174
Alex Iwobi,ngNGA,"FW,MF",Fulham,28-343,1533,31,211,615,731,98,80,50.0,45.0,1088,3621,119,90,34,52,37,202
Nicolas Jackson,snSEN,FW,Chelsea,23-295,583,19,43,241,307,124,55,30.9,50.9,349,1188,43,22,28,56,34,101
Reece James,engENG,"DF,MF",Chelsea,25-124,703,31,203,386,118,4,15,40.0,33.3,358,655,5,4,0,6,4,8
Vitaly Janelt,deGER,MF,Brentford,26-336,1259,117,405,565,297,30,11,27.3,54.5,640,1272,17,17,3,16,10,36
Vitezslav Jaros,czCZE,GK,Liverpool,23-262,8,5,8,0,0,0,0,N/a,N/a,7,8,0,0,0,0,0,0
Daniel Jebbison,engENG,FW,Bournemouth,21-241,52,2,4,21,27,9,5,80.0,20.0,33,81,2,1,3,11,4,11
Mathias Jensen,dkDEN,MF,Brentford,29-100,487,20,109,204,176,9,14,57.1,28.6,264,527,6,8,0,7,6,25
Gabriel Jesus,brBRA,FW,Arsenal,28-008,299,9,28,108,165,48,22,40.9,45.5,179,432,15,6,11,13,13,57
Raúl Jiménez,mxMEX,FW,Fulham,33-341,799,27,93,347,370,137,44,40.9,52.3,445,879,30,16,16,53,38,107
Kim Jisoo,krKOR,DF,Brentford,20-108,30,1,15,12,3,0,0,N/a,N/a,15,22,0,0,0,0,1,0
João Pedro,brBRA,"FW,MF",Brighton,23-197,854,10,51,351,463,112,72,34.7,54.2,552,1596,61,33,29,68,36,118
Joelinton,brBRA,"MF,FW",Newcastle Utd,28-240,1242,65,248,600,407,76,44,31.8,61.4,674,1661,37,23,8,35,51,100
Ben Johnson,engENG,"DF,FW",Ipswich Town,25-077,554,52,218,197,142,10,21,33.3,57.1,227,528,15,10,3,20,15,27
Brennan Johnson,wlsWAL,FW,Tottenham,23-323,758,16,85,256,429,117,39,46.2,46.2,476,1305,54,18,32,23,15,179
Sam Johnstone,engENG,GK,Wolves,32-017,306,229,304,2,0,0,0,N/a,N/a,196,756,0,0,0,0,0,0
Curtis Jones,engENG,"MF,DF",Liverpool,24-071,957,26,147,511,305,50,15,66.7,26.7,581,1265,20,13,5,21,29,65
Jorginho,itITA,MF,Arsenal,33-112,443,9,81,262,105,3,4,25.0,50.0,258,754,10,9,0,9,9,4
Diogo Jota,ptPOR,FW,Liverpool,28-128,407,5,27,162,225,83,29,37.9,58.6,228,711,34,21,20,35,21,81
James Justin,engENG,DF,Leicester City,27-047,1606,126,560,714,342,36,28,32.1,42.9,708,1454,35,24,4,30,11,90
Filip Jørgensen,dkDEN,GK,Chelsea,22-360,202,174,201,1,0,0,0,N/a,N/a,145,423,0,0,0,0,0,0
Ferdi Kadioglu,trTUR,"DF,MF",Brighton,25-186,231,13,71,91,72,9,7,42.9,42.9,124,183,1,0,0,6,2,27
Daichi Kamada,jpJPN,MF,Crystal Palace,28-249,682,17,142,361,183,20,11,36.4,54.5,331,734,18,12,4,12,17,43
Boubacar Kamara,frFRA,MF,Aston Villa,25-139,827,82,257,477,98,8,22,36.4,31.8,428,1019,16,10,1,7,9,5
Michael Kayode,itITA,DF,Brentford,20-275,33,1,11,9,13,3,0,N/a,N/a,12,38,2,1,1,0,0,6
Michael Keane,engENG,DF,Everton,32-090,409,78,226,167,18,14,1,0.0,100.0,187,234,1,1,0,0,2,3
Caoimhín Kelleher,ieIRL,GK,Liverpool,26-139,398,286,396,2,0,0,1,100.0,0.0,290,616,0,0,0,1,0,0
Lloyd Kelly,engENG,DF,Newcastle Utd,26-187,215,26,105,94,19,4,3,66.7,33.3,120,202,0,2,0,3,2,5
Milos Kerkez,huHUN,DF,Bournemouth,21-155,1727,93,443,734,571,55,41,41.5,34.1,869,2962,85,56,14,41,15,151
Bilal El Khannouss,maMAR,MF,Leicester City,20-336,997,11,134,519,353,26,41,58.5,39.0,569,1549,54,35,8,32,28,70
Abdukodir Khusanov,uzUZB,DF,Manchester City,21-041,445,45,205,211,31,1,2,0.0,100.0,274,435,1,1,0,2,1,2
Max Kilman,engENG,DF,West Ham,27-323,1897,368,1046,774,92,28,18,72.2,5.6,1010,2627,26,10,2,13,2,5
Joshua King,engENG,"MF,FW",Fulham,18-098,54,2,8,19,28,7,7,57.1,42.9,22,70,1,3,0,1,3,9
Antonín Kinský,czCZE,GK,Tottenham,22-029,156,134,154,2,0,0,0,N/a,N/a,97,267,1,0,0,0,0,0
Jakub Kiwior,plPOL,DF,Arsenal,25-055,326,41,129,182,15,2,3,66.7,33.3,168,414,4,0,1,1,1,0
Justin Kluivert,nlNED,"MF,FW",Bournemouth,25-341,879,21,87,295,517,111,76,40.8,47.4,511,1885,64,44,33,44,24,132
Ibrahima Konaté,frFRA,DF,Liverpool,25-321,1762,194,756,913,98,18,4,50.0,25.0,1043,2812,21,12,0,8,2,2
Ezri Konsa,engENG,DF,Aston Villa,27-170,1546,188,733,728,92,17,17,41.2,41.2,905,2273,16,8,2,15,8,11
Mateo Kovačić,hrCRO,MF,Manchester City,30-340,1686,40,247,953,505,15,36,52.8,30.6,1128,3147,48,62,3,15,28,14
Caleb Kporha,engENG,DF,Crystal Palace,18-270,11,1,4,2,5,0,0,N/a,N/a,4,36,1,1,0,0,2,0
Emil Krafth,seSWE,DF,Newcastle Utd,30-252,118,24,67,36,15,4,1,0.0,100.0,54,64,1,2,0,2,1,1
Mohammed Kudus,ghGHA,"FW,MF",West Ham,24-252,1018,10,136,421,495,101,169,43.2,46.7,673,2055,81,52,35,60,79,175
Dejan Kulusevski,seSWE,"MF,FW",Tottenham,24-351,1172,20,133,390,673,145,107,32.7,59.8,766,3065,115,66,37,71,69,199
Maxence Lacroix,frFRA,DF,Crystal Palace,25-005,1571,277,951,560,67,32,13,61.5,23.1,843,1842,8,4,0,18,3,6
Adam Lallana,engENG,MF,Southampton,36-336,318,19,91,155,73,6,12,41.7,41.7,178,366,6,8,0,10,6,10
Tariq Lamptey,ghGHA,DF,Brighton,24-193,489,25,147,208,137,9,27,33.3,55.6,267,893,25,13,2,9,4,40
Will Lankshear,engENG,"FW,MF",Tottenham,19-356,3,0,0,2,1,0,0,N/a,N/a,3,0,0,0,0,2,0,1
Roméo Lavia,beBEL,MF,Chelsea,21-095,344,12,86,209,53,1,12,58.3,41.7,204,407,3,8,0,1,6,6
Mario Lemina,gaGAB,"MF,DF",Wolves,31-222,809,92,324,378,119,18,16,62.5,25.0,382,1038,8,12,2,21,11,21
Bernd Leno,deGER,GK,Fulham,33-038,1227,972,1218,9,0,0,0,N/a,N/a,809,1770,0,0,0,0,0,0
Jefferson Lerma,coCOL,"MF,DF",Crystal Palace,30-168,1086,72,312,589,195,23,10,50.0,30.0,489,848,10,9,0,10,15,24
Rico Lewis,engENG,"DF,MF",Manchester City,20-141,1313,49,260,661,405,42,20,40.0,55.0,761,1981,36,37,8,19,19,65
Keane Lewis-Potter,engENG,"DF,FW",Brentford,24-048,1346,85,399,519,445,69,90,38.9,51.1,707,2779,88,60,34,41,18,132
Myles Lewis-Skelly,engENG,DF,Arsenal,18-197,598,15,108,326,176,12,22,50.0,36.4,333,1134,24,16,4,7,8,24
Matthijs de Ligt,nlNED,DF,Manchester Utd,25-242,1584,181,813,722,56,29,4,50.0,50.0,1063,2219,7,3,0,5,3,6
Pedro Lima,brBRA,DF,Wolves,18-284,48,0,9,12,28,3,3,33.3,66.7,22,83,4,3,1,1,0,11
Victor Lindelöf,seSWE,DF,Manchester Utd,30-268,141,26,84,50,7,3,0,N/a,N/a,71,173,1,0,0,1,0,1
Jesper Lindstrøm,dkDEN,FW,Everton,25-041,625,22,127,206,303,40,43,18.6,72.1,302,780,30,19,7,31,24,81
Valentino Livramento,engENG,DF,Newcastle Utd,22-150,1492,98,510,674,333,20,39,43.6,38.5,780,2394,57,30,6,21,30,77
Sean Longstaff,engENG,MF,Newcastle Utd,27-163,406,20,111,182,116,21,6,33.3,50.0,235,415,4,10,2,8,7,20
Saša Lukić,rsSRB,MF,Fulham,28-241,1217,44,263,698,268,12,13,46.2,30.8,683,1827,32,33,3,18,7,26
Joe Lumley,engENG,GK,Southampton,30-055,164,116,161,3,0,0,0,N/a,N/a,103,296,0,0,0,0,0,0
Massimo Luongo,auAUS,MF,Ipswich Town,32-198,72,9,32,24,16,1,0,N/a,N/a,38,25,0,0,0,2,3,1
Ian Maatsen,nlNED,DF,Aston Villa,23-032,596,35,159,219,224,30,17,52.9,47.1,317,824,21,13,8,17,18,70
Alexis Mac Allister,arARG,MF,Liverpool,26-108,1645,49,250,865,544,49,38,36.8,52.6,818,1762,31,37,3,24,20,65
James Maddison,engENG,MF,Tottenham,28-139,1370,25,200,635,548,73,70,42.9,44.3,959,2096,40,37,18,21,24,84
Noni Madueke,engENG,FW,Chelsea,23-032,736,16,76,203,469,140,71,39.4,50.7,497,2602,114,40,68,38,23,185
Gabriel Magalhães,brBRA,DF,Arsenal,27-113,1873,189,672,985,225,40,5,80.0,20.0,1116,2669,10,22,0,9,2,11
Edmond-Paris Maghoma,engENG,"MF,FW",Brentford,23-338,101,2,18,58,27,4,4,75.0,25.0,68,221,4,3,1,2,0,4
Harry Maguire,engENG,DF,Manchester Utd,32-037,1085,133,541,497,60,35,5,40.0,60.0,640,1629,6,6,3,6,2,5
Kobbie Mainoo,engENG,MF,Manchester Utd,19-357,845,17,165,477,210,30,41,48.8,46.3,526,1032,19,12,9,23,29,35
Tyrell Malacia,nlNED,DF,Manchester Utd,25-237,62,2,20,27,15,0,1,100.0,0.0,37,118,3,2,0,1,2,6
Donyell Malen,nlNED,FW,Aston Villa,26-092,90,1,5,26,65,14,10,30.0,50.0,53,199,6,5,2,6,5,18
Orel Mangala,beBEL,MF,Everton,27-024,621,22,133,335,157,13,24,58.3,37.5,298,576,6,6,3,12,12,19
Ryan Manning,ieIRL,DF,Southampton,28-301,746,54,205,301,249,21,31,35.5,41.9,372,779,12,10,4,16,5,61
Solly March,engENG,"MF,FW",Brighton,30-265,50,0,4,13,33,2,1,100.0,0.0,16,32,0,0,0,1,1,7
Omar Marmoush,egEGY,"FW,MF",Manchester City,26-063,298,2,23,92,186,34,18,22.2,61.1,184,542,13,12,4,26,7,44
Gabriel Martinelli,brBRA,"FW,MF",Arsenal,23-297,757,13,76,203,490,140,98,30.6,53.1,502,2105,102,27,51,42,30,223
Emiliano Martínez,arARG,GK,Aston Villa,32-221,1189,892,1176,13,0,0,1,100.0,0.0,721,2275,0,0,0,1,0,0
Lisandro Martínez,arARG,DF,Manchester Utd,27-083,1524,156,713,697,125,18,7,85.7,14.3,1017,3129,23,23,2,1,3,7
Pape Matar Sarr,snSEN,MF,Tottenham,22-209,1041,31,224,584,251,21,25,44.0,48.0,662,1679,28,28,4,24,18,41
Jean-Philippe Mateta,frFRA,FW,Crystal Palace,27-287,643,24,53,310,294,82,40,42.5,47.5,340,823,34,19,8,62,38,111
Stephy Mavididi,engENG,FW,Leicester City,26-315,788,22,120,299,385,52,85,36.5,51.8,530,2104,78,36,22,37,34,124
Konstantinos Mavropanos,grGRE,DF,West Ham,27-121,1295,192,670,573,59,21,17,52.9,29.4,711,1967,15,10,1,12,0,2
Noussair Mazraoui,maMAR,DF,Manchester Utd,27-148,1818,138,711,842,289,26,43,55.8,37.2,1010,2450,34,26,3,22,16,44
Bryan Mbeumo,cmCMR,FW,Brentford,25-247,1429,44,201,455,798,127,85,44.7,42.4,862,2841,103,59,60,84,38,287
James Mcatee,engENG,"MF,FW",Manchester City,22-175,92,1,11,43,39,9,5,20.0,80.0,54,150,5,4,0,2,1,12
Kasey McAteer,ieIRL,"FW,MF",Leicester City,23-140,200,15,47,77,82,16,9,11.1,55.6,116,387,13,8,6,6,4,36
Alex McCarthy,engENG,GK,Southampton,35-129,173,141,173,0,0,0,0,N/a,N/a,100,276,0,0,0,0,0,0
John McGinn,sctSCO,"MF,FW",Aston Villa,30-175,916,22,143,496,287,46,43,39.5,27.9,509,1077,27,16,5,32,24,66
Dwight McNeil,engENG,"MF,FW",Everton,25-140,619,2,61,267,305,18,37,54.1,43.2,360,931,31,28,4,22,24,65
Scott McTominay,sctSCO,MF,Manchester Utd,28-124,14,1,3,8,3,1,1,0.0,100.0,10,44,0,0,0,1,1,2
Ben Mee,engENG,DF,Brentford,35-202,138,18,66,62,11,3,0,N/a,N/a,78,274,3,1,1,0,0,2
Jayden Meghoma,engENG,DF,Brentford,18-287,3,1,2,0,1,0,0,N/a,N/a,1,0,0,0,0,0,0,0
Mikel Merino,esESP,"MF,FW",Arsenal,28-293,669,34,121,289,268,68,16,43.8,37.5,327,581,8,12,4,21,20,82
Shumaira Mheuka,engENG,MF,Chelsea,17-173,2,0,0,0,2,1,0,N/a,N/a,1,0,0,0,0,0,0,0
Nikola Milenković,rsSRB,DF,Nott'ham Forest,27-181,1107,210,601,435,75,57,1,100.0,0.0,422,879,3,3,2,1,2,5
Lewis Miley,engENG,MF,Newcastle Utd,18-345,170,5,36,96,39,5,2,0.0,50.0,84,174,1,1,0,5,0,6
James Milner,engENG,MF,Brighton,39-097,92,3,13,48,31,4,1,100.0,0.0,46,97,1,1,0,0,0,10
Tyrone Mings,engENG,DF,Aston Villa,32-029,664,120,341,288,39,13,2,100.0,0.0,407,1096,5,12,0,3,1,0
Yankuba Minteh,gmGAM,"FW,MF",Brighton,20-263,604,25,111,170,340,101,78,47.4,43.6,334,1446,58,15,45,40,19,141
Tyrick Mitchell,engENG,DF,Crystal Palace,25-222,1451,93,500,558,406,39,28,42.9,46.4,673,1420,51,30,9,33,26,143
Kaoru Mitoma,jpJPN,"FW,MF",Brighton,27-326,1265,14,143,438,711,151,126,38.1,57.9,764,3567,135,74,54,48,22,274
Jakub Moder,plPOL,MF,Brighton,26-004,27,2,7,12,9,1,0,N/a,N/a,13,62,2,3,0,0,0,0
Jeremy Monga,N/a,FW,Leicester City,N/a,9,0,0,5,4,0,2,0.0,50.0,7,4,0,0,0,1,1,2
Mikey Moore,engENG,"FW,MF",Tottenham,17-243,96,1,10,22,65,12,11,9.1,81.8,68,239,9,3,4,6,4,30
Morato,brBRA,DF,Nott'ham Forest,23-285,369,78,230,122,19,2,1,100.0,0.0,122,272,0,2,0,6,3,1
Álex Moreno,esESP,"DF,MF",Nott'ham Forest,31-307,502,55,183,186,144,8,20,40.0,35.0,211,821,25,16,4,13,5,32
Sam Morsy,egEGY,MF,Ipswich Town,33-213,1362,69,394,781,200,4,19,57.9,31.6,705,1579,13,20,2,13,9,9
Yerson Mosquera,coCOL,DF,Wolves,23-344,294,43,170,115,12,7,0,N/a,N/a,168,322,0,1,0,4,1,0
Mason Mount,engENG,"MF,FW",Manchester Utd,26-091,141,1,21,75,46,8,4,0.0,75.0,89,166,4,5,1,5,6,8
Divin Mubama,engENG,FW,Manchester City,20-168,5,0,0,2,3,1,0,N/a,N/a,2,0,0,0,0,0,1,0
Mykhailo Mudryk,uaUKR,FW,Chelsea,24-096,62,3,12,15,38,6,8,37.5,62.5,39,227,7,8,0,3,7,12
Marshall Munetsi,zwZIM,"MF,FW",Wolves,28-293,185,10,25,104,56,15,1,0.0,100.0,76,86,3,1,2,21,4,19
Rodrigo Muniz,brBRA,FW,Fulham,23-342,301,12,25,157,123,52,18,33.3,50.0,154,169,5,4,2,47,24,31
Daniel Muñoz,coCOL,DF,Crystal Palace,28-320,1585,95,445,652,503,80,46,37.0,58.7,614,1277,42,25,14,43,15,166
Arijanet Muric,xkKVX,GK,Ipswich Town,26-155,689,559,672,18,0,0,0,N/a,N/a,405,1178,0,0,0,3,1,0
Murillo,brBRA,DF,Nott'ham Forest,22-281,1541,347,791,676,88,17,31,83.9,16.1,659,2034,17,24,1,17,9,4
Jacob Murphy,engENG,FW,Newcastle Utd,30-046,949,13,143,368,447,68,50,48.0,48.0,564,1734,59,26,21,24,31,163
Vitaliy Mykolenko,uaUKR,DF,Everton,25-317,1311,103,421,559,341,22,16,31.3,50.0,525,1178,27,21,1,18,8,69
Iliman Ndiaye,snSEN,FW,Everton,25-036,879,32,186,357,383,67,127,46.5,46.5,502,2005,73,37,27,43,37,99
Wilfred Ndidi,ngNGA,MF,Leicester City,28-116,1103,102,373,522,218,52,27,44.4,48.1,527,878,13,18,2,31,26,71
Kosta Nedeljković,rsSRB,DF,Aston Villa,19-116,66,4,15,32,19,0,2,50.0,50.0,27,33,1,0,0,1,0,0
Reiss Nelson,engENG,FW,Arsenal,25-122,2,0,1,1,0,0,0,N/a,N/a,1,4,0,0,0,0,0,0
Reiss Nelson,engENG,FW,Fulham,25-122,347,5,30,110,212,35,35,37.1,37.1,259,960,45,25,21,14,8,63
Neto,brBRA,GK,Bournemouth,35-266,70,60,70,0,0,0,0,N/a,N/a,35,99,0,0,0,0,0,0
Pedro Neto,ptPOR,FW,Chelsea,25-033,843,7,73,252,530,89,83,30.1,45.8,554,2397,97,46,36,33,23,174
Eddie Nketiah,engENG,"FW,MF",Crystal Palace,25-316,315,7,33,128,160,52,17,47.1,35.3,184,725,32,18,12,25,13,61
Christopher Nkunku,frFRA,FW,Chelsea,27-148,446,10,52,182,216,52,27,37.0,51.9,279,628,17,16,13,18,17,67
Matheus Nunes,ptPOR,"DF,MF",Manchester City,26-227,1020,32,189,372,463,50,30,43.3,43.3,644,1771,49,22,21,24,10,139
Darwin Núñez,uyURU,FW,Liverpool,25-291,326,10,43,110,183,60,21,38.1,57.1,175,492,20,16,10,21,17,67
Ethan Nwaneri,engENG,"FW,MF",Arsenal,18-021,420,3,43,143,239,32,51,54.9,33.3,284,1103,40,19,14,17,16,90
Christian Nørgaard,dkDEN,MF,Brentford,31-032,1422,142,487,676,273,46,12,50.0,33.3,656,1080,12,11,4,28,18,34
Jake O'Brien,ieIRL,DF,Everton,23-331,596,50,239,240,119,16,8,25.0,62.5,251,452,6,5,1,5,5,23
Matt O'Riley,dkDEN,MF,Brighton,24-141,333,14,56,155,123,23,9,44.4,44.4,160,326,11,7,2,9,3,29
Dara O'Shea,ieIRL,DF,Ipswich Town,26-038,1690,320,967,620,106,45,2,50.0,50.0,753,1626,3,2,0,10,4,5
Chidozie Obi-Martin,dkDEN,FW,Manchester Utd,17-133,16,1,4,7,5,1,1,0.0,100.0,7,26,1,0,0,2,1,2
Wilson Odobert,frFRA,FW,Tottenham,20-134,244,4,26,90,130,27,24,37.5,54.2,176,796,30,17,16,13,12,40
Chiedozie Ogbene,ieIRL,FW,Ipswich Town,27-345,70,3,11,19,40,6,7,14.3,42.9,41,139,7,2,2,4,2,15
Caleb Okoli,itITA,DF,Leicester City,23-272,733,142,412,297,27,8,0,N/a,N/a,419,970,3,2,0,10,2,2
Robin Olsen,seSWE,GK,Aston Villa,35-093,83,73,82,1,0,0,0,N/a,N/a,44,109,0,0,0,0,0,0
Amadou Onana,beBEL,MF,Aston Villa,23-238,718,51,198,429,104,15,16,62.5,18.8,398,1005,16,15,0,9,7,11
André Onana,cmCMR,GK,Manchester Utd,29-009,1256,951,1235,22,0,0,0,N/a,N/a,889,2530,0,0,0,1,0,0
Paul Onuachu,ngNGA,FW,Southampton,30-318,379,12,36,207,139,56,24,29.2,54.2,187,227,7,4,2,44,31,35
Frank Onyeka,ngNGA,MF,Brentford,27-100,10,0,1,5,4,0,0,N/a,N/a,6,14,0,0,0,2,1,0
Lewis Orford,engENG,MF,West Ham,19-052,42,1,8,28,7,2,0,N/a,N/a,22,27,0,0,0,1,0,1
Stefan Ortega,deGER,GK,Manchester City,32-156,405,308,402,3,0,0,0,N/a,N/a,261,687,0,0,0,0,0,0
William Osula,dkDEN,FW,Newcastle Utd,21-250,31,1,2,17,12,3,5,40.0,60.0,17,17,1,1,0,5,4,7
Dango Ouattara,bfBFA,FW,Bournemouth,23-059,795,47,131,255,424,114,67,44.8,47.8,407,1457,67,27,35,51,28,169
Nico O’Reilly,engENG,"DF,MF",Manchester City,20-021,168,4,28,88,54,7,6,66.7,33.3,117,323,9,8,0,6,2,11
Alex Palmer,engENG,GK,Ipswich Town,28-244,236,194,232,4,0,0,0,N/a,N/a,107,365,0,0,0,1,0,0
Cole Palmer,engENG,MF,Chelsea,22-340,1481,17,119,661,721,116,94,44.7,39.4,935,2995,91,61,30,54,28,149
Emerson Palmieri,itITA,DF,West Ham,30-251,1167,74,378,491,313,24,30,33.3,56.7,483,1465,38,22,8,22,7,72
